Accuracy,Precision,Recall,F1-Score,AUC-ROC,Model,Dataset,Run
0.6019417475728155,0.6203703703703703,0.7722222222222221,0.5465478363577795,0.7722222222222223,Naïve Bayes + TF-IDF,incubator-mxnet,12
0.8155339805825242,0.6254901960784314,0.6641025641025642,0.63926267281106,0.6641025641025642,BERT + LSTM,incubator-mxnet,12
0.6407766990291263,0.63,0.7944444444444445,0.576978576978577,0.7944444444444445,Naïve Bayes + TF-IDF,incubator-mxnet,13
0.7766990291262136,0.5931537598204264,0.6418803418803418,0.6041771094402674,0.6418803418803419,BERT + LSTM,incubator-mxnet,13
0.49514563106796117,0.5663544106167057,0.6452991452991452,0.45167895167895167,0.6452991452991452,Naïve Bayes + TF-IDF,incubator-mxnet,14
0.8155339805825242,0.6102729885057472,0.6311965811965812,0.6187414767192675,0.6311965811965812,BERT + LSTM,incubator-mxnet,14
0.6699029126213593,0.6247126436781609,0.7782051282051282,0.592031686859273,0.7782051282051281,Naïve Bayes + TF-IDF,incubator-mxnet,15
0.8252427184466019,0.6706521739130434,0.7683760683760683,0.6970588235294117,0.7683760683760684,BERT + LSTM,incubator-mxnet,15
0.6699029126213593,0.6382978723404256,0.8111111111111111,0.6002283105022831,0.8111111111111111,Naïve Bayes + TF-IDF,incubator-mxnet,16
0.7766990291262136,0.6340476190476191,0.7405982905982906,0.6498152254249816,0.7405982905982905,BERT + LSTM,incubator-mxnet,16
0.5242718446601942,0.5883720930232558,0.6948717948717948,0.4801730353280461,0.6948717948717948,Naïve Bayes + TF-IDF,incubator-mxnet,17
0.8058252427184466,0.6543589743589744,0.7572649572649572,0.6773182957393483,0.7572649572649572,BERT + LSTM,incubator-mxnet,17
